,fiscal_year,stock_code,ind_name1,ind_name2,E_proportion,G_proportion,None_proportion,S_proportion
0,2015,1816,公用事業,公用事業,0.423728813559322,0.0677966101694915,0.1073446327683615,0.4011299435028249
1,2015,1558,醫療保健,藥品及生物科技,0.2259136212624584,0.0764119601328903,0.1794019933554817,0.5182724252491694
2,2015,242,綜合企業,綜合企業,0.2758620689655172,0.0875331564986737,0.0663129973474801,0.5702917771883289
3,2015,3,公用事業,公用事業,0.3469079939668175,0.0769230769230769,0.0588235294117647,0.5173453996983409
4,2015,1185,工業,工業工程,0.2054794520547945,0.0684931506849315,0.136986301369863,0.589041095890411
5,2015,576,工業,工業運輸,0.2727272727272727,0.0519480519480519,0.1818181818181818,0.4935064935064935
6,2015,419,非必需性消費,旅遊及休閒設施,0.253012048192771,0.1325301204819277,0.036144578313253,0.5783132530120482
7,2015,175,非必需性消費,汽車,0.25,0.0601604278074866,0.1109625668449197,0.5788770053475936
8,2015,23,金融,銀行,0.1511254019292604,0.1446945337620578,0.1479099678456591,0.5562700964630225
9,2015,1313,地產建築,建築,0.3072625698324022,0.0502793296089385,0.1955307262569832,0.4469273743016759
10,2016,303,資訊科技,資訊科技器材,0.3107861060329067,0.0749542961608775,0.1371115173674588,0.4771480804387568
11,2015,1199,工業,工業運輸,0.2087227414330218,0.146417445482866,0.308411214953271,0.3364485981308411
12,2015,2018,工業,工業工程,0.2567164179104477,0.0597014925373134,0.1104477611940298,0.573134328358209
13,2015,1898,能源,煤炭,0.24375,0.0708333333333333,0.2041666666666666,0.48125
14,2015,200,非必需性消費,旅遊及休閒設施,0.2415902140672783,0.1345565749235474,0.1192660550458715,0.5045871559633027
15,2015,686,公用事業,公用事業,0.445859872611465,0.054140127388535,0.0573248407643312,0.4426751592356688
16,2015,12,地產建築,地產,0.3198924731182795,0.0806451612903225,0.1075268817204301,0.4919354838709677
17,2015,342,能源,石油及天然氣,0.131578947368421,0.0789473684210526,0.0526315789473684,0.7368421052631579
18,2015,551,非必需性消費,紡織及服飾,0.2967359050445103,0.0682492581602373,0.0771513353115727,0.5578635014836796
19,2015,528,非必需性消費,紡織及服飾,0.4068441064638783,0.0608365019011406,0.1368821292775665,0.3954372623574144
20,2015,3788,原材料,一般金屬及礦石,0.3245614035087719,0.0350877192982456,0.1783625730994152,0.4619883040935672
21,2015,1301,工業,工業工程,0.3903345724907063,0.0594795539033457,0.0966542750929368,0.4535315985130111
22,2015,956,公用事業,公用事業,0.4326018808777429,0.0658307210031347,0.1191222570532915,0.3824451410658307
23,2015,598,工業,工業運輸,0.375,0.0625,0.096590909090909,0.4659090909090909
24,2015,991,公用事業,公用事業,0.4098360655737705,0.0327868852459016,0.0983606557377049,0.4590163934426229
25,2015,386,能源,石油及天然氣,0.2993348115299334,0.0332594235033259,0.1330376940133037,0.5343680709534369
26,2015,388,金融,其他金融,0.2131147540983606,0.1868852459016393,0.1770491803278688,0.4229508196721311
27,2015,2386,能源,石油及天然氣,0.1832669322709163,0.1155378486055776,0.1394422310756972,0.5617529880478087
28,2015,548,工業,工業運輸,0.1724137931034483,0.0421455938697318,0.1379310344827586,0.6475095785440613
29,2014,1133,工業,工業工程,0.3636363636363636,0.0404040404040404,0.1616161616161616,0.4343434343434343
30,2014,1185,工業,工業工程,0.2533333333333333,0.0533333333333333,0.0533333333333333,0.64
31,2015,900,金融,其他金融,0.0033557046979865,0.0302013422818791,0.8959731543624161,0.0704697986577181
32,2014,598,工業,工業運輸,0.3586206896551724,0.0827586206896551,0.0758620689655172,0.4827586206896552
33,2015,576,工業,工業運輸,0.073015873015873,0.0285714285714285,0.7206349206349206,0.1777777777777777
34,2014,1117,必需性消費,食品飲料,0.4213836477987421,0.0283018867924528,0.0283018867924528,0.5220125786163522
35,2014,345,必需性消費,食品飲料,0.3532608695652174,0.0380434782608695,0.0869565217391304,0.5217391304347826
36,2015,341,非必需性消費,旅遊及休閒設施,0.1992337164750957,0.0498084291187739,0.1302681992337164,0.6206896551724138
37,2014,242,綜合企業,綜合企業,0.2631578947368421,0.0827067669172932,0.056390977443609,0.5977443609022557
38,2014,1109,地產建築,地產,0.1428571428571428,0.0844155844155844,0.1385281385281385,0.6341991341991342
39,2014,1138,工業,工業運輸,0.25,0.0512048192771084,0.108433734939759,0.5903614457831325
