股票代號,名稱,行業代碼,行業,業務代碼,業務類別,業務子代碼,業務子類別
1870,益美國際控股,60,地產建築,6020,建築,602020,建築及服務
1871,向中國際,23,非必需性消費,2360,支援服務,236010,教育
1872,冠轈控股,23,非必需性消費,2370,零售相關,237010,汽車零售
1873,維亞生物,28,醫療保健,2810,藥品及生物科技,281020,生物科技
1875,東曜藥業-B,28,醫療保健,2810,藥品及生物科技,281020,生物科技
1876,百威亞太,25,必需性消費,2510,食品飲料,251040,酒料飲料
1877,君實生物,28,醫療保健,2810,藥品及生物科技,281020,生物科技
1878,南戈壁-S,0,能源,20,煤炭,2010,煤炭
1880,中國中免,23,非必需性消費,2340,旅遊及休閒設施,234050,旅遊及觀光
1882,海天國際,10,工業,1010,工業工程,101020,工業零件及器材
1883,中信國際電訊,35,電訊,3500,電訊,350020,電訊服務
1884,EPRINT集團,10,工業,1030,工業支援,103020,印刷及包裝
1885,中國優材,5,原材料,530,其他原材料,53020,林業及木材
1888,建滔積層板,10,工業,1010,工業工程,101020,工業零件及器材
1889,三愛健康集團,28,醫療保健,2810,藥品及生物科技,281010,藥品
1890,中國科培,23,非必需性消費,2360,支援服務,236010,教育
1891,興合控股,5,原材料,520,一般金屬及礦石,52040,其他金屬及礦石
1894,恒益控股,60,地產建築,6020,建築,602010,建築材料
1895,鑫苑服務,60,地產建築,6010,地產,601050,物業管理及服務
1896,貓眼娛樂,23,非必需性消費,2350,媒體及娛樂,235030,影視娛樂
1897,美亨實業,60,地產建築,6020,建築,602020,建築及服務
1898,中煤能源,0,能源,20,煤炭,2010,煤炭
1899,興達國際,10,工業,1010,工業工程,101010,商用車及貨車
1900,中國智能交通,70,資訊科技,7020,軟件服務,702010,系統開發及顧問
1901,飛揚集團,23,非必需性消費,2340,旅遊及休閒設施,234050,旅遊及觀光
1902,銀城國際控股,60,地產建築,6010,地產,601020,地產發展商
1903,JBB BUILDERS,10,工業,1020,工業運輸,102010,航運及港口
1905,海通恆信,50,金融,5030,其他金融,503030,信貸
1906,博尼控股,23,非必需性消費,2330,紡織及服飾,233020,服裝
1907,中國旭陽集團,5,原材料,530,其他原材料,53040,特殊化工用品
1908,建發國際集團,60,地產建築,6010,地產,601020,地產發展商
1909,火岩控股,70,資訊科技,7020,軟件服務,702030,軟件開發
1910,新秀麗,23,非必需性消費,2330,紡織及服飾,233050,其他服飾配件
1911,華興資本控股,50,金融,5030,其他金融,503020,資產管理
1912,康特隆,70,資訊科技,7030,半導體,703010,半導體
1913,普拉達,23,非必需性消費,2330,紡織及服飾,233050,其他服飾配件
1915,泰和小貸,50,金融,5030,其他金融,503030,信貸
1916,江西銀行,50,金融,5010,銀行,501010,銀行
1917,豆盟科技,23,非必需性消費,2350,媒體及娛樂,235010,廣告及宣傳
1918,融創中國,60,地產建築,6010,地產,601020,地產發展商
1919,中遠海控,10,工業,1020,工業運輸,102010,航運及港口
1920,恆新豐控股,60,地產建築,6020,建築,602020,建築及服務
1921,達力普控股,0,能源,10,石油及天然氣,1020,油氣設備與服務
1922,銀城生活服務,60,地產建築,6010,地產,601050,物業管理及服務
1925,曠世控股,23,非必需性消費,2320,家庭電器及用品,232040,家具
1927,久久王,25,必需性消費,2510,食品飲料,251010,包裝食品
1928,金沙中國有限公司,23,非必需性消費,2340,旅遊及休閒設施,234030,賭場及博彩
1929,周大福,23,非必需性消費,2370,零售相關,237050,其他零售
1930,勛龍,10,工業,1010,工業工程,101020,工業零件及器材
1931,華檢醫療,28,醫療保健,2820,醫療保健設備及服務,282010,醫療保健設備
1932,中漆集團,5,原材料,530,其他原材料,53040,特殊化工用品
1933,元力控股,70,資訊科技,7020,軟件服務,702030,軟件開發
1935,嘉宏教育,23,非必需性消費,2360,支援服務,236010,教育
1936,利特米,25,必需性消費,2520,農產品,252030,禽畜飼料
1937,佳辰控股,60,地產建築,6020,建築,602010,建築材料
1938,珠江鋼管,0,能源,10,石油及天然氣,1020,油氣設備與服務
1939,東京中央拍賣,23,非必需性消費,2360,支援服務,236020,其他支援服務
1940,CGII HLDGS,0,能源,10,石油及天然氣,1010,油氣生產商
1941,燁星集團,60,地產建築,6010,地產,601050,物業管理及服務
1942,MOG HOLDINGS,23,非必需性消費,2370,零售相關,237050,其他零售
1943,銀濤控股,60,地產建築,6020,建築,602020,建築及服務
1945,清科創業,50,金融,5030,其他金融,503040,其他金融
1947,美皓集團,28,醫療保健,2820,醫療保健設備及服務,282020,醫療及醫學美容服務
1948,優矩控股,23,非必需性消費,2350,媒體及娛樂,235010,廣告及宣傳
1949,PLATT NERA,70,資訊科技,7020,軟件服務,702010,系統開發及顧問
1950,帝王實業控股,5,原材料,530,其他原材料,53040,特殊化工用品
1951,錦欣生殖,28,醫療保健,2810,藥品及生物科技,281020,生物科技
1952,雲頂新耀-B,28,醫療保健,2810,藥品及生物科技,281020,生物科技
1953,RIMBACO,60,地產建築,6020,建築,602020,建築及服務
1955,莊臣控股,23,非必需性消費,2360,支援服務,236020,其他支援服務
1957,MBV INTL,23,非必需性消費,2330,紡織及服飾,233020,服裝
1958,北京汽車,23,非必需性消費,2310,汽車,231010,汽車
1959,世紀聯合控股,23,非必需性消費,2370,零售相關,237010,汽車零售
1960,TBKS HLDGS,60,地產建築,6020,建築,602030,重型基建
1961,多牛科技,70,資訊科技,7020,軟件服務,702030,軟件開發
1962,訓修實業,23,非必需性消費,2330,紡織及服飾,233050,其他服飾配件
