股票代號,名稱,行業代碼,行業,業務代碼,業務類別,業務子代碼,業務子類別
2297,潤邁德-B,28,醫療保健,2820,醫療保健設備及服務,282010,醫療保健設備
2298,都市麗人,23,非必需性消費,2330,紡織及服飾,233020,服裝
2299,百宏實業,23,非必需性消費,2330,紡織及服飾,233010,紡織品及布料
2302,中核國際,5,原材料,520,一般金屬及礦石,52040,其他金屬及礦石
2306,樂華娛樂,23,非必需性消費,2350,媒體及娛樂,235030,影視娛樂
2307,錦興國際,23,非必需性消費,2330,紡織及服飾,233010,紡織品及布料
2309,伯明翰體育,23,非必需性消費,2340,旅遊及休閒設施,234070,休閒及文娛設施
2310,時代環球集團,60,地產建築,6010,地產,601050,物業管理及服務
2312,中國金融租賃,50,金融,5030,其他金融,503020,資產管理
2313,申洲國際,23,非必需性消費,2330,紡織及服飾,233020,服裝
2314,理文造紙,5,原材料,530,其他原材料,53030,紙品相關
2315,百奧賽圖-B,28,醫療保健,2810,藥品及生物科技,281020,生物科技
2317,味丹國際,25,必需性消費,2510,食品飲料,251050,食品添加劑
2318,中國平安,50,金融,5020,保險,502010,保險
2319,蒙牛乳業,25,必需性消費,2510,食品飲料,251020,乳製品
2320,合豐集團,5,原材料,530,其他原材料,53030,紙品相關
2321,雙財莊,25,必需性消費,2510,食品飲料,251010,包裝食品
2322,香港潮商集團,5,原材料,530,其他原材料,53040,特殊化工用品
2323,融科控股,10,工業,1010,工業工程,101020,工業零件及器材
